Title,Season,Episode,Summary,Mood,Theme
Box Cutter,4,1,Walt and Jesse are held hostage by Gus.,"intense, dark","power dynamics, violence"
Thirty-Eight Snub,4,2,Walt buys a gun and plots to kill Gus.,"macho, dark","paranoia, revenge"
Open House,4,3,Skyler plans to buy the car wash.,"calm, determined","strategy, manipulation"
Bullet Points,4,4,Skyler and Walt prepare a story for Hank.,"tense, emotional","deception, family"
Shotgun,4,5,"Jesse rides with Mike, proving himself.","macho, intense","loyalty, trust"
Cornered,4,6,Walt asserts his dominance to Skyler.,"macho, dark","power, family conflict"
Problem Dog,4,7,Jesse struggles with guilt and attends therapy.,"sad, emotional","guilt, confession"
Hermanos,4,8,Gus’s past is revealed.,"intense, sad","backstory, revenge"
Bug,4,9,Walt and Jesse’s relationship fractures.,"emotional, intense","conflict, trust"
Salud,4,10,Gus takes down the cartel in Mexico.,"macho, dark","revenge, plot twist"
Crawl Space,4,11,Walt loses control as things spiral.,"intense, sad","collapse, desperation"
End Times,4,12,"Brock is poisoned, and tensions rise.","intense, emotional","suspense, urgency"
Face Off,4,13,Walt confronts Gus in a dramatic finale.,"macho, dark","plot twist, revenge"
Live Free or Die,5,1,Walt and Jesse destroy evidence.,"intense, macho","heist, cleverness"
Madrigal,5,2,Lydia is introduced; Mike cleans up loose ends.,"dark, calm","clean-up, tension"
Hazard Pay,5,3,Walt and Jesse set up a new lab.,"calm, strategic","planning, ambition"
Fifty-One,5,4,Skyler breaks down as Walt celebrates.,"sad, emotional","family, fear"
Dead Freight,5,5,The crew robs a train.,"intense, macho","heist, adrenaline"
Buyout,5,6,"Jesse wants out, Walt won’t let go.","emotional, tense","control, greed"
Say My Name,5,7,Walt asserts dominance; Mike’s fate is sealed.,"macho, sad","power, downfall"
Gliding Over All,5,8,Walt eliminates enemies and expands his empire.,"macho, dark","crime empire, dominance"
Blood Money,5,9,Hank realizes the truth about Walt.,"intense, emotional","shock, discovery"
Buried,5,10,Walt hides his money; Skyler chooses sides.,"tense, emotional","family, secrecy"
Confessions,5,11,Jesse learns the truth and snaps.,"sad, emotional","betrayal, revenge"
Rabid Dog,5,12,Jesse plans to burn Walt's house.,"angry, intense","conflict, desperation"
To'hajiilee,5,13,A trap is set; things explode.,"intense, suspenseful","setup, betrayal"
Ozymandias,5,14,Walt loses everything.,"sad, dark","collapse, family tragedy"
Granite State,5,15,Walt hides in exile.,"sad, calm","regret, isolation"
Felina,5,16,Walt returns for a final reckoning.,"macho, dark","closure, revenge"
